
   WARN  Unable to respect the `PHP_CLI_SERVER_WORKERS` environment variable without the `--no-reload` flag. Only creating a single server.  

   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server
  2026-07-13 04:59:57 /api/v1/auth/me .................................................................... ~ 511.65ms
  2026-07-13 04:59:57 /api/v1/public/cms/pages ........................................................... ~ 510.72ms
  2026-07-13 04:59:57 /api/v1/public/cms/menus/main ...................................................... ~ 509.59ms
  2026-07-13 04:59:58 /api/v1/public/contact-inquiries ..................................................... ~ 0.74ms
  2026-07-13 04:59:58 /api/v1/cms/contact-inquiries ...................................................... ~ 510.06ms
  2026-07-13 04:59:58 /api/v1/public/dates/products ...................................................... ~ 515.94ms
  2026-07-13 04:59:59 /api/v1/public/oils/products ......................................................... ~ 0.78ms
  2026-07-13 04:59:59 /api/v1/public/dates/cart .......................................................... ~ 557.60ms
  2026-07-13 04:59:59 /api/v1/public/dates/cart/d1e40062-9483-4ad3-8f14-8785f9d30d1a/items ..................... ~ 1s
  2026-07-13 05:00:00 /api/v1/public/dates/checkout ...................................................... ~ 517.26ms
  2026-07-13 05:00:01 /api/v1/public/dates/orders/DAT-202607-000001 ...................................... ~ 516.22ms
  2026-07-13 05:00:02 /api/v1/public/dates/payment-methods ............................................... ~ 511.05ms
  2026-07-13 05:00:02 /api/v1/public/dates/orders/DAT-202607-000001/paymob/initiate ...................... ~ 513.16ms
  2026-07-13 05:00:02 /api/v1/payments/paymob/callback ..................................................... ~ 0.76ms
  2026-07-13 05:01:17 /api/v1/health ..................................................................... ~ 522.51ms
  2026-07-13 05:01:17 /api/v1/public/cms/menus/main ...................................................... ~ 515.14ms
  2026-07-13 05:01:17 /api/v1/public/cms/pages/home ............................................................ ~ 1s
  2026-07-13 05:01:18 /api/v1/public/business-units/dates .................................................. ~ 0.95ms
  2026-07-13 05:01:19 /api/v1/public/cms/business-units/dates/page ....................................... ~ 510.73ms
  2026-07-13 05:01:19 /api/v1/public/dates/products ...................................................... ~ 513.15ms
  2026-07-13 05:01:20 /api/v1/public/dates/collections ................................................... ~ 508.99ms
